Firm #,E/A,ROA,D/A,OPM,ATR,Size,QR,CR,Default=1,,
101,0.52,0.67,0.48,0.26,2.54,1040.16,1.68,1.57,0,,
102,0.69,0.28,0.31,0.14,2.08,877.30,1.86,2.25,0,,
103,0.59,0.60,0.41,0.34,1.74,1081.25,2.14,2.95,0,,
104,0.65,0.47,0.35,0.22,2.12,937.07,2.26,2.12,0,,
105,0.57,0.58,0.43,0.34,1.68,1021.31,1.69,2.39,0,,
106,0.66,0.47,0.34,0.21,2.29,1017.70,2.28,2.17,0,,
107,0.55,0.36,0.45,0.19,1.94,882.37,1.57,2.84,0,,
108,0.53,0.37,0.47,0.18,2.06,938.12,1.66,2.87,0,,
109,0.43,0.57,0.57,0.36,1.57,1182.68,1.93,1.82,0,,
110,0.62,0.73,0.38,0.49,1.50,1042.05,2.39,1.84,0,,
111,0.81,0.52,0.19,0.28,1.88,1002.49,2.74,3.29,0,,
112,0.68,0.73,0.32,0.33,2.19,1119.21,1.85,3.41,0,,
113,0.46,0.81,0.54,0.34,2.38,1135.83,1.99,3.04,0,,
114,0.71,0.44,0.29,0.30,1.47,932.11,1.69,2.33,0,,
115,0.50,0.93,0.50,0.55,1.69,1211.72,1.68,2.56,0,,
116,0.59,0.48,0.41,0.23,2.10,875.63,2.27,2.56,0,,
117,0.46,0.66,0.54,0.31,2.12,1151.27,2.04,2.32,0,,
118,0.80,0.39,0.20,0.19,1.99,732.09,1.59,3.34,0,,
119,0.62,0.71,0.38,0.37,1.95,916.20,1.80,1.97,0,,
120,0.72,0.52,0.28,0.30,1.74,910.99,1.79,2.14,0,,
121,0.31,0.72,0.69,0.33,2.20,1092.23,1.42,2.18,0,,
122,0.52,0.70,0.48,0.39,1.79,904.61,1.74,2.10,0,,
123,0.46,0.47,0.54,0.23,2.05,1068.03,1.55,1.89,0,,
124,0.71,0.63,0.29,0.29,2.15,980.08,2.00,2.21,0,,
125,0.65,0.50,0.35,0.31,1.62,865.45,1.41,1.86,0,,
126,0.63,0.76,0.37,0.45,1.69,932.85,1.15,2.10,0,,
127,0.49,0.64,0.51,0.37,1.70,951.01,1.43,2.02,0,,
128,0.63,0.64,0.37,0.30,2.14,938.26,1.73,1.98,1,,
129,0.53,0.35,0.47,0.18,1.93,944.89,1.89,1.95,0,,
130,0.81,0.18,0.19,0.11,1.58,820.30,2.17,2.22,0,,
131,0.64,0.55,0.36,0.35,1.56,922.61,1.50,1.74,0,,
132,0.68,0.47,0.32,0.21,2.17,951.72,2.31,3.13,0,,
133,0.76,0.61,0.24,0.24,2.47,932.48,2.18,3.20,0,,
134,0.55,0.45,0.45,0.22,1.99,991.14,1.95,2.24,0,,
135,0.57,0.72,0.43,0.32,2.22,1166.60,2.06,3.50,0,,
136,0.60,0.78,0.40,0.32,2.40,1122.52,2.62,3.40,0,,
137,0.73,0.89,0.27,0.44,2.01,1002.27,2.07,2.69,0,,
138,0.49,1.15,0.51,0.50,2.29,1159.34,2.12,3.10,0,,
139,0.56,0.71,0.44,0.41,1.74,1019.59,2.07,2.21,0,,
140,0.63,0.85,0.37,0.40,2.12,1015.92,1.61,2.43,0,,
141,0.60,0.39,0.40,0.19,2.08,930.41,2.10,2.08,0,,
142,0.63,0.60,0.37,0.42,1.43,1083.19,1.84,2.93,0,,
143,0.78,0.33,0.22,0.17,1.89,844.87,2.32,3.24,0,,
144,0.63,0.31,0.37,0.14,2.27,961.42,2.19,3.13,1,,
145,0.68,1.21,0.32,0.59,2.03,1169.63,2.11,2.84,0,,
146,0.70,0.66,0.30,0.31,2.12,910.07,2.36,3.21,0,,
147,0.72,0.44,0.28,0.21,2.06,814.83,2.20,2.45,0,,
148,0.65,0.64,0.35,0.29,2.22,1068.44,2.46,2.92,0,,
149,0.80,0.45,0.20,0.27,1.71,940.22,2.23,2.64,0,,
150,0.50,0.23,0.50,0.12,1.98,892.20,1.65,1.97,0,,
151,0.55,0.47,0.45,0.24,1.95,1072.15,1.53,2.61,0,,
152,0.60,0.57,0.40,0.35,1.62,1011.05,1.57,2.42,0,,
153,0.60,0.68,0.40,0.30,2.25,992.36,2.25,2.19,0,,
154,0.68,0.26,0.32,0.12,2.11,873.88,2.00,2.62,0,,
155,0.50,0.50,0.50,0.27,1.82,951.78,1.98,3.28,0,,
156,0.61,0.55,0.39,0.28,1.95,894.28,1.87,2.56,0,,
157,0.67,0.50,0.33,0.29,1.71,1176.25,2.65,3.39,0,,
158,0.46,0.36,0.54,0.16,2.22,803.97,1.51,2.20,0,,
159,0.62,0.75,0.38,0.32,2.33,1059.67,2.39,2.64,0,,
160,0.66,0.95,0.34,0.44,2.16,1066.48,2.01,2.70,0,,
161,0.63,0.27,0.37,0.14,1.98,811.06,1.21,1.66,0,,
162,0.68,0.58,0.32,0.33,1.78,958.48,2.09,2.15,0,,
163,0.71,0.76,0.29,0.41,1.86,1042.42,2.76,3.06,0,,
164,0.35,0.84,0.65,0.39,2.17,1200.91,1.87,2.63,0,,
165,0.43,0.75,0.57,0.39,1.92,1081.15,2.10,2.16,0,,
166,0.57,0.61,0.43,0.26,2.35,1071.77,2.46,3.95,0,,
167,0.73,0.40,0.27,0.26,1.55,1049.99,2.46,3.35,0,,
168,0.69,0.47,0.31,0.17,2.75,986.72,2.47,3.07,0,,
169,0.62,0.54,0.38,0.28,1.91,932.36,1.70,2.32,0,,
170,0.52,0.58,0.48,0.26,2.23,906.79,2.02,2.63,0,,
171,0.73,0.37,0.27,0.21,1.79,976.28,1.95,2.40,0,,
172,0.83,0.55,0.17,0.40,1.38,885.10,1.98,2.91,0,,
173,0.74,0.57,0.26,0.26,2.20,1085.29,2.58,3.14,0,,
174,0.57,0.72,0.43,0.37,1.96,1040.87,2.61,2.68,0,,
175,0.56,0.70,0.44,0.34,2.04,1023.00,1.83,1.96,0,,
176,0.55,0.46,0.45,0.21,2.19,941.97,1.63,2.51,0,,
177,0.61,0.27,0.39,0.11,2.41,909.22,2.48,2.78,0,,
178,0.58,0.43,0.42,0.16,2.65,903.05,1.79,2.10,0,,
179,0.65,0.67,0.35,0.32,2.11,1056.93,2.31,2.21,0,,
180,0.51,0.66,0.49,0.29,2.28,1008.41,1.68,2.01,0,,
181,0.74,0.74,0.26,0.35,2.13,1055.79,2.30,3.24,0,,
182,0.55,0.63,0.45,0.27,2.32,890.83,1.55,2.73,0,,
183,0.68,0.28,0.32,0.15,1.80,920.59,2.08,1.68,0,,
184,0.63,0.57,0.37,0.30,1.89,907.65,2.01,2.42,0,,
185,0.54,0.62,0.46,0.42,1.48,886.41,0.96,1.21,0,,
186,0.50,0.76,0.50,0.35,2.20,1046.39,1.72,2.48,0,,
187,0.71,0.63,0.29,0.26,2.44,1050.34,2.60,3.22,0,,
188,0.47,0.73,0.53,0.28,2.56,1163.40,1.73,1.95,0,,
189,0.53,0.93,0.47,0.44,2.14,1193.54,2.58,3.30,0,,
190,0.61,0.64,0.39,0.39,1.64,971.15,1.28,2.23,0,,
191,0.62,0.47,0.38,0.25,1.84,879.81,1.91,1.75,0,,
192,0.62,0.36,0.38,0.16,2.20,1201.10,2.71,4.04,0,,
193,0.63,0.42,0.37,0.20,2.05,909.43,2.04,3.30,0,,
194,0.60,0.73,0.40,0.33,2.19,977.04,2.34,2.73,0,,
195,0.59,0.48,0.41,0.19,2.48,1040.25,1.96,2.75,0,,
196,0.52,0.57,0.48,0.28,2.04,925.59,1.51,2.68,0,,
197,0.45,0.67,0.55,0.32,2.11,1000.48,2.35,2.64,0,,
198,0.55,0.59,0.45,0.24,2.40,901.03,1.28,1.43,0,,
199,0.62,0.51,0.38,0.23,2.19,967.85,2.13,2.21,0,,
200,0.54,0.47,0.46,0.29,1.63,880.67,1.62,1.36,0,,
201,0.58,0.47,0.42,0.25,1.87,999.64,2.02,2.17,0,,
202,0.70,0.28,0.30,0.15,1.89,910.43,2.34,3.01,0,,
203,0.51,0.64,0.49,0.39,1.63,967.87,1.30,1.39,0,,
204,0.57,0.45,0.43,0.22,2.09,945.98,2.16,2.22,0,,
205,0.59,0.78,0.41,0.40,1.92,995.90,2.22,2.70,0,,
206,0.55,0.68,0.45,0.28,2.45,1060.27,1.89,1.43,0,,
207,0.57,0.62,0.43,0.28,2.24,965.47,1.50,3.18,0,,
208,0.69,0.85,0.31,0.41,2.08,1057.78,1.76,1.89,0,,
209,0.62,0.57,0.38,0.32,1.76,912.52,1.60,2.21,0,,
210,0.61,0.55,0.39,0.26,2.12,1037.62,2.55,2.56,0,,
211,0.65,0.52,0.35,0.21,2.49,981.65,2.55,2.92,0,,
212,0.43,0.57,0.57,0.28,2.02,865.48,1.44,2.27,0,,
213,0.69,0.66,0.31,0.32,2.06,1011.55,2.46,2.05,0,,
214,0.65,0.82,0.35,0.37,2.20,1119.55,2.52,3.41,0,,
215,0.67,0.48,0.33,0.29,1.67,1048.97,2.36,2.52,0,,
216,0.72,0.48,0.28,0.23,2.10,968.67,1.52,2.83,0,,
217,0.62,0.56,0.38,0.33,1.71,1100.19,1.82,2.01,0,,
218,0.63,0.64,0.37,0.36,1.77,1054.95,1.84,2.48,0,,
219,0.45,0.58,0.55,0.29,1.99,1202.02,2.17,2.65,0,,
220,0.62,0.73,0.38,0.44,1.67,1045.58,2.10,2.47,0,,
221,0.71,0.46,0.29,0.24,1.88,976.56,2.23,2.83,0,,
222,0.44,0.75,0.56,0.42,1.79,1106.90,1.38,1.68,0,,
223,0.48,0.76,0.52,0.42,1.81,1109.93,2.19,1.32,0,,
224,0.62,0.63,0.38,0.30,2.11,1074.01,2.42,2.68,0,,
225,0.75,0.61,0.25,0.26,2.34,1068.54,2.50,2.61,0,,
226,0.64,0.55,0.36,0.38,1.45,889.11,2.08,2.06,0,,
227,0.62,0.26,0.38,0.12,2.14,821.83,1.78,2.52,0,,
228,0.57,0.65,0.43,0.31,2.11,1130.47,2.05,2.07,0,,
229,0.63,0.63,0.37,0.30,2.10,1083.71,2.50,1.95,0,,
230,0.56,0.77,0.44,0.34,2.24,985.82,2.22,2.10,0,,
231,0.56,0.48,0.44,0.22,2.17,986.25,1.41,2.13,1,,
232,0.73,0.22,0.27,0.14,1.62,1008.82,2.90,2.48,0,,
233,0.69,0.05,0.31,0.02,2.43,799.15,2.09,2.53,0,,
234,0.67,0.72,0.33,0.34,2.11,1038.93,2.16,3.21,0,,
235,0.65,0.67,0.35,0.40,1.69,887.11,1.64,2.18,0,,
236,0.63,0.49,0.37,0.25,1.95,978.39,1.96,2.83,0,,
237,0.60,0.83,0.40,0.53,1.56,1087.88,1.71,2.24,0,,
238,0.90,0.32,0.10,0.18,1.81,838.65,2.39,2.20,0,,
239,0.65,0.31,0.35,0.16,1.88,991.12,2.80,2.84,0,,
240,0.48,0.75,0.52,0.31,2.42,1065.39,2.32,2.26,0,,
241,0.71,0.46,0.29,0.29,1.59,1025.61,2.15,1.84,0,,
242,0.51,0.73,0.49,0.39,1.89,1139.17,2.38,2.66,0,,
243,0.56,0.75,0.44,0.32,2.36,1030.59,1.86,2.93,0,,
244,0.60,0.49,0.40,0.22,2.19,1005.45,2.67,2.83,0,,
245,0.58,0.33,0.42,0.15,2.10,965.16,2.46,2.16,0,,
246,0.76,0.39,0.24,0.21,1.84,985.99,1.83,2.72,0,,
247,0.61,0.37,0.39,0.16,2.26,1064.14,1.96,2.43,0,,
248,0.44,0.91,0.56,0.40,2.27,1176.72,2.59,2.63,0,,
249,0.59,0.64,0.41,0.29,2.21,1021.90,1.98,2.43,0,,
250,0.60,0.32,0.40,0.12,2.69,914.79,2.06,3.06,0,,
251,0.67,0.52,0.33,0.32,1.63,850.79,0.99,2.13,0,,
252,0.60,0.43,0.40,0.21,2.06,1053.82,2.13,2.42,0,,
253,0.58,0.58,0.42,0.44,1.32,1162.82,1.94,2.40,0,,
254,0.56,0.67,0.44,0.31,2.13,1051.80,1.73,2.00,0,,
255,0.64,0.67,0.36,0.32,2.14,1006.51,1.58,2.56,0,,
256,0.62,0.46,0.38,0.22,2.10,1043.57,2.23,2.17,0,,
257,0.40,0.64,0.60,0.39,1.64,915.92,2.22,1.53,0,,
258,0.83,0.33,0.17,0.26,1.28,835.81,1.88,2.78,0,,
259,0.38,0.96,0.62,0.37,2.62,981.38,1.69,2.46,0,,
260,0.57,0.48,0.43,0.28,1.74,1004.83,2.00,2.10,0,,
261,0.50,0.86,0.50,0.38,2.24,1088.29,1.83,2.73,0,,
262,0.77,0.06,0.23,0.03,2.13,876.09,2.45,2.88,0,,
263,0.66,0.58,0.34,0.30,1.91,944.78,1.93,2.31,0,,
264,0.63,0.67,0.37,0.40,1.69,854.58,1.30,1.60,0,,
265,0.56,0.64,0.44,0.29,2.20,1107.06,2.39,3.47,0,,
266,0.77,0.57,0.23,0.32,1.76,894.49,2.23,2.56,0,,
267,0.55,0.46,0.45,0.25,1.83,985.71,1.80,3.01,0,,
268,0.72,0.53,0.28,0.29,1.81,1026.57,2.26,2.66,0,,
269,0.59,0.51,0.41,0.24,2.07,1029.97,2.28,3.12,0,,
270,0.53,0.80,0.47,0.43,1.87,992.45,1.59,2.53,0,,
271,0.57,0.73,0.43,0.35,2.08,1019.05,2.37,2.50,0,,
272,0.49,0.92,0.51,0.46,2.02,1081.29,1.30,1.70,0,,
273,0.50,0.45,0.50,0.32,1.42,1053.08,1.98,1.74,1,,
274,0.67,0.49,0.33,0.28,1.75,1056.22,1.86,2.43,0,,
275,0.57,0.66,0.43,0.34,1.95,930.75,1.84,2.74,0,,
276,0.69,0.79,0.31,0.42,1.88,939.14,2.38,2.91,0,,
277,0.73,0.09,0.27,0.04,2.37,897.96,2.38,2.97,0,,
278,0.51,0.37,0.49,0.15,2.42,996.48,1.43,2.53,0,,
279,0.60,0.74,0.40,0.42,1.74,1047.72,1.77,2.64,0,,
280,0.61,1.04,0.39,0.48,2.14,1012.32,1.58,2.35,0,,
281,0.51,0.56,0.49,0.30,1.88,898.74,1.46,2.55,0,,
282,0.54,0.66,0.46,0.44,1.49,1022.44,1.81,1.80,0,,
283,0.56,0.97,0.44,0.52,1.87,1197.27,2.05,1.99,0,,
284,0.47,0.80,0.53,0.34,2.32,1133.58,1.66,2.57,0,,
285,0.51,0.65,0.49,0.27,2.38,1038.43,2.91,1.94,0,,
286,0.58,0.57,0.42,0.26,2.21,976.58,2.06,2.67,0,,
287,0.67,0.58,0.33,0.26,2.21,895.58,1.52,3.14,0,,
288,0.67,0.69,0.33,0.37,1.89,1077.80,1.97,2.07,0,,
289,0.48,0.77,0.52,0.31,2.52,1153.63,1.82,2.05,0,,
290,0.76,0.93,0.24,0.47,1.99,1024.48,1.90,2.72,0,,
291,0.60,0.55,0.40,0.27,2.06,1022.09,1.80,2.54,0,,
292,0.79,0.41,0.21,0.19,2.15,941.77,2.85,3.40,0,,
293,0.50,0.86,0.50,0.37,2.30,1163.93,2.33,2.84,0,,
294,0.51,0.83,0.49,0.34,2.43,1216.21,2.40,3.07,0,,
295,0.60,0.66,0.40,0.35,1.91,867.83,1.56,1.90,0,,
296,0.61,0.24,0.39,0.09,2.58,937.10,2.15,2.76,0,,
297,0.85,0.50,0.15,0.24,2.12,918.12,2.30,3.41,0,,
298,0.54,0.33,0.46,0.13,2.53,884.95,1.65,2.82,0,,
299,0.82,0.58,0.18,0.27,2.13,926.53,1.63,2.79,0,,
300,0.83,0.56,0.17,0.33,1.70,995.81,2.30,2.65,0,,
301,0.59,0.84,0.41,0.42,2.02,996.27,2.06,3.52,0,,
302,0.69,0.75,0.31,0.35,2.12,843.94,1.59,2.68,0,,
303,0.56,0.66,0.44,0.36,1.86,937.22,1.58,1.96,1,,
304,0.53,0.63,0.47,0.39,1.62,1041.86,1.93,2.02,0,,
305,0.51,0.70,0.49,0.31,2.24,987.69,1.90,2.52,0,,
306,0.67,0.57,0.33,0.28,2.01,1053.88,2.62,3.32,0,,
307,0.56,0.83,0.44,0.41,2.03,1017.68,2.05,2.32,0,,
308,0.59,0.76,0.41,0.41,1.87,1058.10,2.27,2.55,0,,
309,0.52,0.51,0.48,0.27,1.90,946.44,2.03,2.94,0,,
310,0.55,0.32,0.45,0.13,2.39,1027.20,2.04,3.14,0,,
311,0.51,0.24,0.49,0.09,2.59,851.79,2.44,2.24,0,,
312,0.61,0.31,0.39,0.14,2.27,1083.61,2.78,2.42,0,,
313,0.61,0.41,0.39,0.20,2.06,937.91,1.74,3.02,0,,
314,0.50,0.73,0.50,0.36,2.01,1042.56,1.94,2.35,0,,
315,0.81,0.34,0.19,0.18,1.88,767.17,1.35,2.47,0,,
316,0.65,0.45,0.35,0.28,1.61,940.19,2.11,1.70,0,,
317,0.73,0.60,0.27,0.31,1.93,962.54,1.81,1.50,0,,
318,0.64,0.38,0.36,0.16,2.42,869.17,1.56,2.24,0,,
319,0.54,0.50,0.46,0.23,2.17,1048.47,1.32,3.16,0,,
320,0.52,0.49,0.48,0.24,2.00,1157.95,1.45,2.37,0,,
321,0.70,0.44,0.30,0.20,2.20,1048.10,2.94,2.52,1,,
322,0.65,0.58,0.35,0.25,2.34,993.80,1.55,2.62,0,,
323,0.59,0.77,0.41,0.38,2.03,1088.84,2.43,2.92,0,,
324,0.63,0.53,0.37,0.24,2.17,1002.37,1.80,2.32,0,,
325,0.57,0.75,0.43,0.37,2.00,1075.00,1.88,1.50,0,,
326,0.56,0.63,0.44,0.34,1.84,843.20,1.83,1.77,0,,
327,0.69,0.58,0.31,0.30,1.94,898.53,2.26,2.98,0,,
328,0.62,0.85,0.38,0.39,2.16,1031.54,2.58,3.24,0,,
329,0.81,0.73,0.19,0.47,1.56,1034.93,2.47,3.22,0,,
330,0.49,0.98,0.51,0.47,2.09,1142.32,1.92,2.72,0,,
331,0.66,0.28,0.34,0.13,2.13,913.15,2.74,2.67,0,,
332,0.72,0.66,0.28,0.33,2.00,808.41,2.03,1.98,0,,
333,0.63,0.34,0.37,0.17,1.97,816.22,1.43,2.58,0,,
334,0.74,0.14,0.26,0.07,1.83,954.93,1.80,2.32,0,,
335,0.60,0.27,0.40,0.18,1.51,906.14,2.11,2.31,0,,
336,0.66,0.18,0.34,0.08,2.42,927.19,2.13,2.16,0,,
337,0.38,0.56,0.62,0.23,2.39,1031.83,1.90,2.29,0,,
338,0.49,0.96,0.51,0.46,2.11,1346.45,2.65,3.39,0,,
339,0.85,0.41,0.15,0.20,2.02,843.82,1.92,2.65,0,,
340,0.56,0.71,0.44,0.57,1.24,1046.37,1.84,2.20,0,,
341,0.74,0.58,0.26,0.31,1.87,1003.44,2.83,2.68,0,,
342,0.63,0.93,0.37,0.39,2.37,1182.14,2.31,2.83,0,,
343,0.58,0.66,0.42,0.29,2.28,1015.87,1.70,2.76,0,,
344,0.53,0.59,0.47,0.29,2.05,1095.74,1.28,2.31,0,,
345,0.63,0.43,0.37,0.22,1.95,1032.34,2.46,2.84,0,,
346,0.44,0.70,0.56,0.35,2.00,1079.99,1.82,2.00,0,,
347,0.65,0.32,0.35,0.15,2.21,831.87,1.89,2.13,0,,
348,0.57,0.49,0.43,0.22,2.18,1055.92,2.11,2.44,1,,
349,0.53,0.41,0.47,0.21,1.95,976.39,1.59,2.74,0,,
350,0.59,0.59,0.41,0.32,1.87,1123.55,2.62,2.81,0,,
351,0.51,0.84,0.49,0.47,1.81,1008.70,2.49,2.61,0,,
352,0.57,1.06,0.43,0.52,2.05,1112.25,2.39,3.55,0,,
353,0.68,0.27,0.32,0.11,2.42,897.23,2.22,2.60,0,,
354,0.78,0.57,0.22,0.30,1.90,796.95,1.84,2.26,0,,
355,0.41,0.52,0.59,0.27,1.89,933.79,1.84,2.34,0,,
356,0.66,0.39,0.34,0.18,2.15,787.09,1.65,2.32,0,,
357,0.59,0.69,0.41,0.31,2.20,1166.47,2.09,3.10,0,,
358,0.54,0.54,0.46,0.27,2.05,1021.74,2.23,2.77,0,,
359,0.59,0.51,0.41,0.31,1.66,1020.54,2.00,2.68,0,,
360,0.69,0.58,0.31,0.36,1.64,985.40,2.03,2.40,0,,
361,0.65,0.45,0.35,0.20,2.29,1062.98,2.13,3.71,0,,
